[ 2026-02-26 17:50:57,795 ] 38 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 6
[ 2026-02-26 17:51:00,736 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-26 17:51:00,739 ] 107 dagshub - INFO - Accessing as bharti8102
[ 2026-02-26 17:51:01,940 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-26 17:51:03,066 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-26 17:51:03,068 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-26 17:51:03,069 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-26 17:51:04,909 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-26 17:51:04,912 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-26 17:51:04,912 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-26 17:51:05,262 ] 22 root - INFO - \U0001f680 Application started
[ 2026-02-26 17:51:05,262 ] 26 root - INFO - \U0001f680 Data ingestion started
[ 2026-02-26 17:51:05,266 ] 31 root - INFO - Data read successfully from database
[ 2026-02-26 17:51:05,270 ] 38 root - INFO - Raw data saved successfully
[ 2026-02-26 17:51:05,280 ] 47 root - INFO - Train and test data saved successfully
[ 2026-02-26 17:51:05,280 ] 48 root - INFO - \u2705 Data ingestion completed
[ 2026-02-26 17:51:05,283 ] 68 root - INFO - Train and Test data loaded
[ 2026-02-26 17:51:05,283 ] 48 root - INFO - Numerical Columns: ['writing_score', 'reading_score']
[ 2026-02-26 17:51:05,283 ] 49 root - INFO - Categorical Columns: ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']
[ 2026-02-26 17:51:05,297 ] 86 root - INFO - Saving preprocessing object
[ 2026-02-26 17:51:05,298 ] 50 root - INFO - Splitting training and test input data
[ 2026-02-26 17:52:35,004 ] 103 root - INFO - Best model found: Linear Regression
[ 2026-02-26 17:52:47,420 ] 40 root - INFO - \u2705 Pipeline completed successfully
