[ 2026-02-27 08:56:59,003 ] 38 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 6
[ 2026-02-27 08:57:04,669 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-27 08:57:04,677 ] 107 dagshub - INFO - Accessing as bharti8102
[ 2026-02-27 08:57:06,084 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-27 08:57:07,397 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-27 08:57:07,401 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-27 08:57:07,402 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-27 08:57:10,710 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-27 08:57:10,715 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-27 08:57:10,715 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-27 08:57:11,041 ] 22 root - INFO - \U0001f680 Application started
[ 2026-02-27 08:57:11,042 ] 26 root - INFO - \U0001f680 Data ingestion started
[ 2026-02-27 08:57:11,066 ] 31 root - INFO - Data read successfully from database
[ 2026-02-27 08:57:11,082 ] 38 root - INFO - Raw data saved successfully
[ 2026-02-27 08:57:11,109 ] 47 root - INFO - Train and test data saved successfully
[ 2026-02-27 08:57:11,109 ] 48 root - INFO - \u2705 Data ingestion completed
[ 2026-02-27 08:57:11,116 ] 68 root - INFO - Train and Test data loaded
[ 2026-02-27 08:57:11,117 ] 48 root - INFO - Numerical Columns: ['writing_score', 'reading_score']
[ 2026-02-27 08:57:11,117 ] 49 root - INFO - Categorical Columns: ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']
[ 2026-02-27 08:57:11,164 ] 86 root - INFO - Saving preprocessing object
[ 2026-02-27 08:57:11,167 ] 50 root - INFO - Splitting training and test input data
[ 2026-02-27 08:58:48,078 ] 103 root - INFO - Best model found: Linear Regression
[ 2026-02-27 08:59:03,518 ] 40 root - INFO - \u2705 Pipeline completed successfully
