[ 2026-02-26 17:49:40,428 ] 38 dotenv.main - WARNING - python-dotenv could not parse statement starting at line 6
[ 2026-02-26 17:49:43,383 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-26 17:49:43,386 ] 107 dagshub - INFO - Accessing as bharti8102
[ 2026-02-26 17:49:44,585 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-26 17:49:46,744 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-02-26 17:49:46,746 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-26 17:49:46,747 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-26 17:49:49,392 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/bharti8102/mltest "HTTP/1.1 200 OK"
[ 2026-02-26 17:49:49,395 ] 107 dagshub - INFO - Initialized MLflow to track repo "bharti8102/mltest"
[ 2026-02-26 17:49:49,395 ] 107 dagshub - INFO - Repository bharti8102/mltest initialized!
[ 2026-02-26 17:49:49,706 ] 22 root - INFO - \U0001f680 Application started
[ 2026-02-26 17:49:49,706 ] 26 root - INFO - \U0001f680 Data ingestion started
[ 2026-02-26 17:49:49,710 ] 31 root - INFO - Data read successfully from database
[ 2026-02-26 17:49:49,718 ] 38 root - INFO - Raw data saved successfully
[ 2026-02-26 17:49:49,723 ] 47 root - INFO - Train and test data saved successfully
[ 2026-02-26 17:49:49,724 ] 48 root - INFO - \u2705 Data ingestion completed
[ 2026-02-26 17:49:49,727 ] 68 root - INFO - Train and Test data loaded
[ 2026-02-26 17:49:49,727 ] 48 root - INFO - Numerical Columns: ['writing_score', 'reading_score']
[ 2026-02-26 17:49:49,727 ] 49 root - INFO - Categorical Columns: ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']
[ 2026-02-26 17:49:49,742 ] 86 root - INFO - Saving preprocessing object
[ 2026-02-26 17:49:49,744 ] 50 root - INFO - Splitting training and test input data
[ 2026-02-26 17:49:49,744 ] 43 root - ERROR - Error occurred in python script name [D:\mavim\mlproject\src\mlproject\components\model_trainer.py] line number [90] error message [evaluate_models() missing 1 required positional argument: 'parameters']
